PlantName,Name,Replicate,OriginalReplicate,Line,Promoter,Sample,Treatment,Genotype,Tissue,Experiment,PromoterLibrary
EPTRAPG,G01S,G_S,G_S,EP-TR-7,EP,TRAP,CON,SL,ROOT,Atlas,EP_G_S
EXOTRAPG,G02S,G_S,G_S,EXO-TR-10-22,EXO,TRAP,CON,SL,ROOT,Atlas,EXO_G_S
CORTRAPG,G03S,G_S,G_S,COR-TR-2,COR,TRAP,CON,SL,ROOT,Atlas,COR_G_S
ENTRAPG,G04S,G_S,G_S,EN-TR-3,EN,TRAP,CON,SL,ROOT,Atlas,EN_G_S
X35STRAPH,H01,H,H,35S-TR-5,X35S,TRAP,CON,SL,ROOT,Atlas,X35S_H
MZTRAPH,H02,H,H,MZ-TR-8,MZ,TRAP,CON,SL,ROOT,Atlas,MZ_H
ACTTRAPH,H09,H,H,ACT-TR-2,ACT,TRAP,CON,SL,ROOT,Atlas,ACT_H
PHTRAPI,I02,I,I,PH-TR-3,PH,TRAP,CON,SL,ROOT,Atlas,PH_I
XYTRAPI,I03,I,I,XY-TR-1,XY,TRAP,CON,SL,ROOT,Atlas,XY_I
MCOTRAPI,I04,I,I,MCO-TR-4,MCO,TRAP,CON,SL,ROOT,Atlas,MCO_I
EPTRAPJ,J01,J,J,EP-TR-7,EP,TRAP,CON,SL,ROOT,Atlas,EP_J
EXOTRAPJ,J02,J,J,EXO-TR-10-22,EXO,TRAP,CON,SL,ROOT,Atlas,EXO_J
X35STRAPJ,J04,J,J,35S-TR-5,X35S,TRAP,CON,SL,ROOT,Atlas,X35S_J
MCOTRAPK,K01,K,K,MCO-TR-4,MCO,TRAP,CON,SL,ROOT,Atlas,MCO_K
XYTRAPK,K04,K,K,XY-TR-1,XY,TRAP,CON,SL,ROOT,Atlas,XY_K
ENTRAPL,L01,L,L,EN-TR-3,EN,TRAP,CON,SL,ROOT,Atlas,EN_L
MZTRAPL,L03,L,L,MZ-TR-8,MZ,TRAP,CON,SL,ROOT,Atlas,MZ_L
ACTTRAPL,L09,L,L,ACT-TR-2,ACT,TRAP,CON,SL,ROOT,Atlas,ACT_L
EXOTRAPM,M01,M,M,EXO-TR-10-22,EXO,TRAP,CON,SL,ROOT,Atlas,EXO_M
PHTRAPM,M03,M,M,PH-TR-3,PH,TRAP,CON,SL,ROOT,Atlas,PH_M
VTRAPM,M04,M,M,V-TR-13,V,TRAP,CON,SL,ROOT,Atlas,V_M
EPTRAPN,N01,N,N,EP-TR-7,EP,TRAP,CON,SL,ROOT,Atlas,EP_N
XYTRAPN,N02,N,N,XY-TR-1,XY,TRAP,CON,SL,ROOT,Atlas,XY_N
ENTRAPN,N03,N,N,EN-TR-3,EN,TRAP,CON,SL,ROOT,Atlas,EN_N
ACTTRAPN,N07,N,N,ACT-TR-2,ACT,TRAP,CON,SL,ROOT,Atlas,ACT_N
X35STRAPO,O01,O,O,35S-TR-5-2,X35S,TRAP,CON,SL,ROOT,Atlas,X35S_O
CORTRAPO,O02,O,O,COR-TR-2,COR,TRAP,CON,SL,ROOT,Atlas,COR_O
WOXTRAPO,O03,O,O,WOX-TR-6,WOX,TRAP,CON,SL,ROOT,Atlas,WOX_O
MZTRAPO,O04,O,O,MZ-TR-8,MZ,TRAP,CON,SL,ROOT,Atlas,MZ_O
EXOTRAPP,P01,P,P,EXO-TR-10-22-2,EXO,TRAP,CON,SL,ROOT,Atlas,EXO_P
WOXTRAPP,P03,P,P,WOX-TR-6,WOX,TRAP,CON,SL,ROOT,Atlas,WOX_P
ACTTRAPP,P07,P,P,ACT-TR-2,ACT,TRAP,CON,SL,ROOT,Atlas,ACT_P
PHTRAPQ,Q01,Q,Q,PH-TR-3,PH,TRAP,CON,SL,ROOT,Atlas,PH_Q
EPTRAPQ,Q03,Q,Q,EP-TR-7,EP,TRAP,CON,SL,ROOT,Atlas,EP_Q
X35STRAPQ,Q04,Q,Q,35S-TR-5-2,X35S,TRAP,CON,SL,ROOT,Atlas,X35S_Q
ENTRAPR,R01,R,R,EN-TR-3,EN,TRAP,CON,SL,ROOT,Atlas,EN_R
CORTRAPR,R02,R,R,COR-TR-2,COR,TRAP,CON,SL,ROOT,Atlas,COR_R
VTRAPR,R03,R,R,V-TR-13,V,TRAP,CON,SL,ROOT,Atlas,V_R
MZTRAPR,R04,R,R,MZ-TR-8,MZ,TRAP,CON,SL,ROOT,Atlas,MZ_R
MCOTRAPS,S01,S,S,MCO-TR-4-1,MCO,TRAP,CON,SL,ROOT,Atlas,MCO_S
WOXTRAPTa,T01,T,Ta,WOX-TR-6-2a,WOX,TRAP,CON,SL,ROOT,Atlas,WOX_Ta
WOXTRAPTb,T02,T,Tb,WOX-TR-6-2b,WOX,TRAP,CON,SL,ROOT,Atlas,WOX_Tb
VTRAPTa,T03,T,Ta,V-TR-13-4a,V,TRAP,CON,SL,ROOT,Atlas,V_Ta
VTRAPTb,T04,T,Tb,V-TR-13-4b,V,TRAP,CON,SL,ROOT,Atlas,V_Tb
CORTRAPT,T05,T,T,COR-TR-2-4,COR,TRAP,CON,SL,ROOT,Atlas,COR_T
PHTRAPT,T06,T,T,PH-TR-3-1,PH,TRAP,CON,SL,ROOT,Atlas,PH_T
MCOTRAPT,T08,T,T,MCO-TR-4-1,MCO,TRAP,CON,SL,ROOT,Atlas,MCO_T
XYTRAPCHIMERA,TQ1,T,TQ,XY-TR-1,XY,TRAP,CON,SL,ROOT,Atlas,XY_TQ
